Name,2016,2017,2018,2019,2020,2021,Latitude ,Longitude
Canada,53070029774,57462860728,59785120844,58438949417,51047894058,55901701592,58.33747,-112.384858
Mexico,73397875225,78808408892,83016374140,78725130499,68176852227,73301684205,23.920061,-102.289691
China,22205036319,23521606134,24628467674,24327365772,26997041533,32167992368,32.523743,106.431983
Singapore,9268651207,12057377080,10124776956,9821720887,10658830016,11481144904,1.357685,103.80938
Hong Kong,12206263646,13676999065,13971459327,12718180893,11144801913,13910650970,22.28552,114.15769
Taiwan,9322857279,9722613141,10121743911,8030362922,8416640855,10858067851,23.798532,120.955426
Japan,12293317169,12362305963,12725486687,12255599029,11759532520,10633071036,36.13793,138.441899
South Korea,10186130764,1112552646,10777894301,10680326120,10214877178,10603252558,36.382192,128.123986
Germany,13462236656,14886205098,14801363880,15984113450,12914992723,14817638056,51.196755,9.62743
United Kingdom,11870437730,10355807474,11090281068,11106622636,11506983950,12013966993,53.50,-1.247349
Netherlands,8383089245,9439465697,9802641127,9652734681,9394007337,10696574771,52.554205,5.501896
France,7455656586,9774034821,7391204817,6804752263,6802276192,7579842357,46.698481,2.549047
Australia,6013012489,6475770488,6976547429,7050228241,6798582147,7390598801,-23.992438,134.050443
Brazil,6947876859,6749099783,7273171034,7532701225,6801810893,6961258533,-11.928923,-49.542449
