Name,2016,2017,2018,2019,2020,2021,Latitude ,Longitude,Content
Canada,3449034415,38413355388,39965564734,39730943885,34047919452,38301288976,58.33747,-112.384858,"Canada is one of the two main destinations of American machinery, mechanical appliances, and parts. Canada and the U.S. share one of the largest trading relationships in the world, in part due to close cultural ties, and in part due to the North American Free Trade Agreement (NAFTA), which allows U.S. companies to ship qualifying goods to Canada or Mexico duty-free."
Mexico,37737439967,39127213078,41842285237,40429753385,32223691861,36425468433,23.920061,-102.289691,"Mexico is one of the two main destinations of American machinery, mechanical appliances, and parts. Mexico is one of the U.S.’s largest trading partners for goods overall, in part due to proximity, and in part due to the North American Free Trade Agreement (NAFTA), which allows U.S. companies to ship qualifying goods to Canada or Mexico duty-free."
China,9653117745,11157059092,11471592340,9789621258,9882239065,13132853515,32.523743,106.431983,"U.S.-China trade has exploded in the two decades since China joined the World Trade Organization, which has benefited both countries’ consumers and companies. However, China’s state-led development has created friction with the U.S., leading to increasingly tense relations between the two countries."
Singapore,5328195779,6261354270,5889730129,5680374017,6520206510,7377604042,1.357685,103.80938,"The U.S. and Singapore have a close and cooperative trade relationship underpinned by The United States-Singapore Free Trade Agreement, which entered in force on January 1, 2004. The agreement has functioned generally smoothly, with trade and investment growing substantially in both directions."
Japan,6656620939,7035969380,7495524157,7187612384,7234589327,5909077465,36.13793,138.441899,"The U.S. and Japan recently signed the U.S.-Japan Trade Agreement, which entered into force on January 1, 2020.  The relationship is important to the U.S. given its geopolitical interests in East Asia, and a majority of Japanese citizens consider the U.S. to be their closest ally."
South Korea,4462941930,4507707280,5099948989,4903438467,4624803876,5236599563,36.382192,128.123986,"The U.S.-Korea trade agreement entered into force on March 15, 2012, providing more opportunities for U.S. exporters to sell more goods to Korean customers.  As a result, South Korea has become one of the U.S.’s largest trading partners and one of the most geopolitically important in East Asia."
Germany,8068812011,9145800979,8591122939,9587390294,7885019767,8788105526,51.196755,9.62743,"Germany is a major economic powerhouse of the European Union, which is one of the U.S.’s largest and most important trading partners.  While there is currently no dedicated free trade agreement between the U.S. and the EU, the U.S. remains the EU’s single largest trading partner."
United Kingdom,7875995252,6380228309,6791617840,6698559707,7911521627,8479709184,53.5,-1.247349,"The United States and UK have a relatively open trading relationship, and the two countries’ trade policies align on many fronts.  However, some frictions emerge periodically on specific issues, such as tariffs."
Netherlands,4259771274,4508943902,4917432374,5007012547,4849919452,5996571487,52.554205,5.501896,"The Netherlands is part of the European Union, which is one of the U.S.’s largest and most important trading partners.  While there is currently no dedicated free trade agreement between the U.S. and the EU, the U.S. remains the EU’s single largest trading partner."
France,5286122840,7285575937,4506251048,3962284417,4727916408,5232548603,46.698481,2.549047,"France is part of the European Union, which is one of the U.S.’s largest and most important trading partners.  While there is currently no dedicated free trade agreement between the U.S. and the EU, the U.S. remains the EU’s single largest trading partner."
Brazil,4598778988,4286836381,4832504694,5097301237,4434823482,4567051624,-11.928923,-49.542449,The United States and Brazil have enjoyed a strong economic relationship for many years. The U.S. is Brazil’s second largest trading partner.
Australia,4065275072,4437036588,4814149057,4749973606,4689726009,5090425057,-23.992438,134.050443,"The United States and Australia have a close and cooperative trade relationship, which is underpinned by the U.S.-Australia Free Trade Agreement. Australia is one of the top importers of U.S. machinery."
