"Year","Continent ID","Continent","Country ID","Country","Trade Value"
2021,"af","Africa","afgha","Ghana",10000
2021,"af","Africa","afken","Kenya",27.999999999999996
2021,"af","Africa","aflby","Libya",5000
2021,"af","Africa","afmar","Morocco",590
2021,"af","Africa","afmus","Mauritius",12745.999999999998
2021,"af","Africa","afnga","Nigeria",417220
2021,"af","Africa","afsen","Senegal",2819
2021,"af","Africa","afswz","Eswatini",47965
2021,"af","Africa","afsyc","Seychelles",1940
2021,"as","Asia","asare","United Arab Emirates",5416
2021,"as","Asia","aschn","China",190391
2021,"as","Asia","asgeo","Georgia",46890
2021,"as","Asia","ashkg","Hong Kong",205097
2021,"as","Asia","asind","India",50111
2021,"as","Asia","asisr","Israel",813937
2021,"as","Asia","asjpn","Japan",6777882
2021,"as","Asia","askaz","Kazakhstan",12839
2021,"as","Asia","askor","South Korea",108952
2021,"as","Asia","askwt","Kuwait",6447
2021,"as","Asia","aslka","Sri Lanka",8863
2021,"as","Asia","asmac","Macau",143
2021,"as","Asia","asmdv","Maldives",1247
2021,"as","Asia","asmys","Malaysia",441263
2021,"as","Asia","asomn","Oman",31945
2021,"as","Asia","asphl","Philippines",83
2021,"as","Asia","assau","Saudi Arabia",1832.0000000000002
2021,"as","Asia","assgp","Singapore",86842
2021,"as","Asia","astha","Thailand",19657
2021,"as","Asia","astur","Turkey",10029
2021,"as","Asia","asvnm","Vietnam",23533
2021,"as","Asia","asxxb","Chinese Taipei",356001
2021,"eu","Europe","euaut","Austria",38815
2021,"eu","Europe","eubel","Belgium",803718
2021,"eu","Europe","eubih","Bosnia and Herzegovina",913
2021,"eu","Europe","euche","Switzerland",111257
2021,"eu","Europe","eudeu","Germany",397227
2021,"eu","Europe","eudnk","Denmark",126720
2021,"eu","Europe","euesp","Spain",46714
2021,"eu","Europe","euest","Estonia",582.0000000000001
2021,"eu","Europe","eufin","Finland",1291
2021,"eu","Europe","eufra","France",797686
2021,"eu","Europe","eugbr","United Kingdom",282001
2021,"eu","Europe","euirl","Ireland",14659
2021,"eu","Europe","euisl","Iceland",5943
2021,"eu","Europe","euita","Italy",142126
2021,"eu","Europe","eultu","Lithuania",85800
2021,"eu","Europe","eulux","Luxembourg",13290
2021,"eu","Europe","eunld","Netherlands",2269456
2021,"eu","Europe","eunor","Norway",198300
2021,"eu","Europe","eupol","Poland",93732
2021,"eu","Europe","euprt","Portugal",253025
2021,"eu","Europe","eusrb","Serbia",500.00000000000006
2021,"eu","Europe","eusvk","Slovakia",2929
2021,"eu","Europe","eusvn","Slovenia",13101
2021,"eu","Europe","euswe","Sweden",151443
2021,"eu","Europe","euukr","Ukraine",189980
2021,"na","North America","naabw","Aruba",307592
2021,"na","North America","naaia","Anguilla",42802
2021,"na","North America","naatg","Antigua and Barbuda",19541
2021,"na","North America","nabhs","Bahamas",256432
2021,"na","North America","nablz","Belize",333.99999999999994
2021,"na","North America","nabmu","Bermuda",656030.0000000001
2021,"na","North America","nabrb","Barbados",176863
2021,"na","North America","nacan","Canada",190553919
2021,"na","North America","nacuw","Curaçao",30364
2021,"na","North America","nacym","Cayman Islands",1435533
2021,"na","North America","nadom","Dominican Republic",354882
2021,"na","North America","nagrd","Grenada",4989
2021,"na","North America","nagtm","Guatemala",228200.99999999997
2021,"na","North America","nahnd","Honduras",184
2021,"na","North America","najam","Jamaica",10806
2021,"na","North America","nakna","Saint Kitts and Nevis",31570
2021,"na","North America","namaf","Saint Martin",139052
2021,"na","North America","namex","Mexico",2412319
2021,"na","North America","namsr","Montserrat",18562
2021,"na","North America","nanic","Nicaragua",17005
2021,"na","North America","napan","Panama",451460
2021,"na","North America","naslv","El Salvador",12965
2021,"na","North America","natca","Turks and Caicos Islands",8432
2021,"na","North America","natto","Trinidad and Tobago",85166
2021,"na","North America","navct","Saint Vincent and the Grenadines",14851
2021,"na","North America","navgb","British Virgin Islands",121988
2021,"oc","Oceania","ocaus","Australia",113810
2021,"oc","Oceania","ocnzl","New Zealand",108107.00000000001
2021,"oc","Oceania","ocpyf","French Polynesia",48192
2021,"oc","Oceania","ocwsm","Samoa",2035.0000000000002
2021,"sa","South America","sabra","Brazil",193658
2021,"sa","South America","sachl","Chile",87367
2021,"sa","South America","sacol","Colombia",15892.000000000002
2021,"sa","South America","saguy","Guyana",3153
2021,"sa","South America","saper","Peru",5934
2021,"sa","South America","sasur","Suriname",9222.999999999998
2021,"sa","South America","saury","Uruguay",32500
2021,"sa","South America","saven","Venezuela",46256.00000000001
