"Year","Continent ID","Continent","Country ID","Country","Trade Value"
2021,"af","Africa","afago","Angola",106392.99999999999
2021,"af","Africa","afben","Benin",683274.9999999999
2021,"af","Africa","afciv","Cote d'Ivoire",4047759.0000000005
2021,"af","Africa","afcmr","Cameroon",431000
2021,"af","Africa","afcog","Republic of the Congo",224683
2021,"af","Africa","afegy","Egypt",92562.00000000001
2021,"af","Africa","afgha","Ghana",2191493
2021,"af","Africa","afgnq","Equatorial Guinea",360131
2021,"af","Africa","aflbr","Liberia",53400
2021,"af","Africa","afmar","Morocco",35686.00000000001
2021,"af","Africa","afmoz","Mozambique",20313
2021,"af","Africa","afnam","Namibia",1148470
2021,"af","Africa","afnga","Nigeria",16406945
2021,"af","Africa","afrwa","Rwanda",19
2021,"af","Africa","afsen","Senegal",54717
2021,"af","Africa","afswz","Eswatini",578225
2021,"af","Africa","afsyc","Seychelles",6586.999999999999
2021,"af","Africa","aftcd","Chad",37565
2021,"af","Africa","afzaf","South Africa",2228699
2021,"as","Asia","asare","United Arab Emirates",1475025
2021,"as","Asia","asarm","Armenia",71675
2021,"as","Asia","asaze","Azerbaijan",179352
2021,"as","Asia","asbhr","Bahrain",126756
2021,"as","Asia","asbrn","Brunei",72891
2021,"as","Asia","aschn","China",404188886
2021,"as","Asia","asgeo","Georgia",2976881
2021,"as","Asia","ashkg","Hong Kong",9610702
2021,"as","Asia","asidn","Indonesia",1220374
2021,"as","Asia","asind","India",233268.99999999997
2021,"as","Asia","asisr","Israel",2330330
2021,"as","Asia","asjor","Jordan",683391.0000000001
2021,"as","Asia","asjpn","Japan",470249176
2021,"as","Asia","askaz","Kazakhstan",6631
2021,"as","Asia","askor","South Korea",156088201
2021,"as","Asia","askwt","Kuwait",45540
2021,"as","Asia","aslbn","Lebanon",169533
2021,"as","Asia","aslka","Sri Lanka",56077
2021,"as","Asia","asmac","Macau",576068
2021,"as","Asia","asmdv","Maldives",1554.0000000000002
2021,"as","Asia","asmys","Malaysia",509730
2021,"as","Asia","asomn","Oman",29222
2021,"as","Asia","asphl","Philippines",1728126
2021,"as","Asia","asqat","Qatar",39761
2021,"as","Asia","assau","Saudi Arabia",187818
2021,"as","Asia","assgp","Singapore",3941298
2021,"as","Asia","astha","Thailand",69854080
2021,"as","Asia","astur","Turkey",27059
2021,"as","Asia","asuzb","Uzbekistan",165928
2021,"as","Asia","asvnm","Vietnam",31234774
2021,"as","Asia","asxxb","Chinese Taipei",1537634.0000000002
2021,"eu","Europe","eualb","Albania",40800
2021,"eu","Europe","eubel","Belgium",2867411
2021,"eu","Europe","eubgr","Bulgaria",34369
2021,"eu","Europe","eubih","Bosnia and Herzegovina",639381
2021,"eu","Europe","eublr","Belarus",3075533
