"Year","Continent ID","Continent","Country ID","Country","Trade Value"
2021,"af","Africa","afago","Angola",140882739
2021,"af","Africa","afbdi","Burundi",1150230
2021,"af","Africa","afben","Benin",7123343
2021,"af","Africa","afbfa","Burkina Faso",31827314
2021,"af","Africa","afbwa","Botswana",12625730
2021,"af","Africa","afcaf","Central African Republic",1058106
2021,"af","Africa","afciv","Cote d'Ivoire",28489814
2021,"af","Africa","afcmr","Cameroon",28173156
2021,"af","Africa","afcod","Democratic Republic of the Congo",23991678
2021,"af","Africa","afcog","Republic of the Congo",16847053
2021,"af","Africa","afcom","Comoros",234723
2021,"af","Africa","afcpv","Cape Verde",731241
2021,"af","Africa","afdji","Djibouti",14591278
2021,"af","Africa","afdza","Algeria",199668512
2021,"af","Africa","afegy","Egypt",462204002
2021,"af","Africa","aferi","Eritrea",2110843
2021,"af","Africa","afeth","Ethiopia",111879049
2021,"af","Africa","afgab","Gabon",28747799
2021,"af","Africa","afgha","Ghana",101296277
2021,"af","Africa","afgin","Guinea",13260724
2021,"af","Africa","afgmb","Gambia",2269718
2021,"af","Africa","afgnb","Guinea-Bissau",724082
2021,"af","Africa","afgnq","Equatorial Guinea",14107830
2021,"af","Africa","afken","Kenya",54691429
2021,"af","Africa","aflbr","Liberia",14225985
2021,"af","Africa","aflby","Libya",29740975
2021,"af","Africa","aflso","Lesotho",568111
2021,"af","Africa","afmar","Morocco",330839472
2021,"af","Africa","afmdg","Madagascar",20327363
2021,"af","Africa","afmli","Mali",15521567
2021,"af","Africa","afmoz","Mozambique",42342645
2021,"af","Africa","afmrt","Mauritania",28828280
2021,"af","Africa","afmus","Mauritius",14120728
2021,"af","Africa","afmwi","Malawi",2712814
2021,"af","Africa","afnam","Namibia",24110121
2021,"af","Africa","afner","Niger",22049431
2021,"af","Africa","afnga","Nigeria",290913364
2021,"af","Africa","afrwa","Rwanda",5773246
2021,"af","Africa","afsdn","Sudan",138568
2021,"af","Africa","afsen","Senegal",48246979
2021,"af","Africa","afshn","Saint Helena",391449
2021,"af","Africa","afsle","Sierra Leone",3920095
2021,"af","Africa","afsom","Somalia",2329351
2021,"af","Africa","afssd","South Sudan",20695174
2021,"af","Africa","afstp","Sao Tome and Principe",730190
2021,"af","Africa","afswz","Eswatini",2442451
2021,"af","Africa","afsyc","Seychelles",1799432
2021,"af","Africa","aftcd","Chad",11306533
2021,"af","Africa","aftgo","Togo",9707470
2021,"af","Africa","aftun","Tunisia",35457309
2021,"af","Africa","aftza","Tanzania",35204787
2021,"af","Africa","afuga","Uganda",10334370
2021,"af","Africa","afzaf","South Africa",931119219
2021,"af","Africa","afzmb","Zambia",39732294
2021,"af","Africa","afzwe","Zimbabwe",12721647
2021,"an","Antarctica","anatf","French South Antarctic Territory",89498.00000000001
2021,"as","Asia","asafg","Afghanistan",15138679
2021,"as","Asia","asare","United Arab Emirates",2961771120
2021,"as","Asia","asarm","Armenia",12272828
2021,"as","Asia","asaze","Azerbaijan",72887684
2021,"as","Asia","asbgd","Bangladesh",115210329
2021,"as","Asia","asbhr","Bahrain",107544682
2021,"as","Asia","asbrn","Brunei",97918796
2021,"as","Asia","asbtn","Bhutan",1157973
2021,"as","Asia","ascck","Cocos (Keeling) Islands",189815
2021,"as","Asia","aschn","China",13132853515
2021,"as","Asia","ascxr","Christmas Island",15000
2021,"as","Asia","ascyp","Cyprus",12722699
2021,"as","Asia","asgeo","Georgia",20088160
2021,"as","Asia","ashkg","Hong Kong",2374712063
2021,"as","Asia","asidn","Indonesia",685615242
2021,"as","Asia","asind","India",2435118039
2021,"as","Asia","asiot","British Indian Ocean Territory",2215931
2021,"as","Asia","asirn","Iran",15895.999999999998
2021,"as","Asia","asirq","Iraq",184440164
2021,"as","Asia","asisr","Israel",1151059542
2021,"as","Asia","asjor","Jordan",75616162
2021,"as","Asia","asjpn","Japan",5909077465
2021,"as","Asia","askaz","Kazakhstan",148475875
2021,"as","Asia","askgz","Kyrgyzstan",18370723
2021,"as","Asia","askhm","Cambodia",24142719
2021,"as","Asia","askor","South Korea",5236599563
2021,"as","Asia","askwt","Kuwait",240625631
2021,"as","Asia","aslao","Laos",11876744
2021,"as","Asia","aslbn","Lebanon",80295467
2021,"as","Asia","aslka","Sri Lanka",33126076
2021,"as","Asia","asmac","Macau",10318183
2021,"as","Asia","asmdv","Maldives",11899226
2021,"as","Asia","asmmr","Burma",14825338
2021,"as","Asia","asmng","Mongolia",49828129
2021,"as","Asia","asmys","Malaysia",1369680629
2021,"as","Asia","asnpl","Nepal",22390389
2021,"as","Asia","asomn","Oman",145773600
2021,"as","Asia","aspak","Pakistan",246987970
2021,"as","Asia","asphl","Philippines",602015960
2021,"as","Asia","aspse","Palestine",4085486
2021,"as","Asia","asqat","Qatar",581584062
2021,"as","Asia","assau","Saudi Arabia",1451488472
2021,"as","Asia","assgp","Singapore",7377604042
2021,"as","Asia","assyr","Syria",18928
2021,"as","Asia","astha","Thailand",1340207706
2021,"as","Asia","astjk","Tajikistan",2395201
2021,"as","Asia","astkm","Turkmenistan",14073059
2021,"as","Asia","astls","Timor-Leste",183083
2021,"as","Asia","astur","Turkey",973800598
2021,"as","Asia","asuzb","Uzbekistan",64734021
2021,"as","Asia","asvnm","Vietnam",511085213
2021,"as","Asia","asxxb","Chinese Taipei",4392772840
2021,"as","Asia","asyem","Yemen",3412982
2021,"eu","Europe","eualb","Albania",3132233
2021,"eu","Europe","euand","Andorra",310138
2021,"eu","Europe","euaut","Austria",366364362
2021,"eu","Europe","eubel","Belgium",2574344622
2021,"eu","Europe","eubgr","Bulgaria",39990206
2021,"eu","Europe","eubih","Bosnia and Herzegovina",15605231
2021,"eu","Europe","eublr","Belarus",67341872
2021,"eu","Europe","euche","Switzerland",943634256
2021,"eu","Europe","eucze","Czechia",1021582695
2021,"eu","Europe","eudeu","Germany",8788105526
2021,"eu","Europe","eudnk","Denmark",340728671
