Country,2016,2017,2018,2019,2020,2021,Latitude,Longitude
Canada,20372090519,21313239615,21514316569,21536626260,21552910319,27921519865,,
Mexico,13829850630,15652926519,17565072657,16353529820,14953334147,20051908674,,
China,9794476781,12069947286,12461623828,13128995106,14172798566,17696090699,32.523743,106.431983
Germany,10166005109,9921689979,9831262182,11533180410,13191736996,13534013254,,
Japan,10539796600,10722376816,11495031076,10804429523,10732215703,13143295172,36.13793,138.441899
Belgium,10088387548,8799742469,9600824083,9313027942,7451165431,10638485591,,
Netherlands,7674692016,7380891248,8530774106,9061151827,9047068128,10169404361,,
Brazil,5839054988,5787576125,7042632180,7089311907,6492673049,9503096280,,
South Korea,5527399663,6140045777,6901163486,7237475160,6938539896,7753548088,36.382192,128.123986
United Kingdom,6094176696,5835797599,6289498685,5791160540,5826075163,7503734840,,
