"Year","Continent ID","Continent","Country ID","Country","Trade Value"
2021,"af","Africa","afago","Angola",30115
2021,"af","Africa","afbfa","Burkina Faso",2912
2021,"af","Africa","afcmr","Cameroon",33770
2021,"af","Africa","afcod","Democratic Republic of the Congo",2938
2021,"af","Africa","afdza","Algeria",54293
2021,"af","Africa","afegy","Egypt",39255025
2021,"af","Africa","afeth","Ethiopia",73270
2021,"af","Africa","afgha","Ghana",16588
2021,"af","Africa","afgin","Guinea",41287
2021,"af","Africa","afgmb","Gambia",9847.999999999998
2021,"af","Africa","afken","Kenya",9845
2021,"af","Africa","afmar","Morocco",1937087
2021,"af","Africa","afmdg","Madagascar",2954
2021,"af","Africa","afmoz","Mozambique",2218
2021,"af","Africa","afmus","Mauritius",2613
2021,"af","Africa","afner","Niger",16633
2021,"af","Africa","afnga","Nigeria",297633
2021,"af","Africa","afrwa","Rwanda",390
2021,"af","Africa","afsen","Senegal",3082
2021,"af","Africa","afsyc","Seychelles",1333.0000000000002
2021,"af","Africa","aftun","Tunisia",5010
2021,"af","Africa","aftza","Tanzania",25330
2021,"af","Africa","afuga","Uganda",7500
2021,"af","Africa","afzaf","South Africa",5360583
2021,"af","Africa","afzmb","Zambia",5131
2021,"as","Asia","asare","United Arab Emirates",13400297
2021,"as","Asia","asarm","Armenia",1750
2021,"as","Asia","asaze","Azerbaijan",3278
2021,"as","Asia","asbgd","Bangladesh",28442
2021,"as","Asia","asbhr","Bahrain",434195
2021,"as","Asia","asbrn","Brunei",607384
2021,"as","Asia","aschn","China",91610153
2021,"as","Asia","ascyp","Cyprus",185
2021,"as","Asia","ashkg","Hong Kong",2035245
2021,"as","Asia","asidn","Indonesia",1257730
2021,"as","Asia","asind","India",168647049.00000003
2021,"as","Asia","asirq","Iraq",914146.9999999999
2021,"as","Asia","asisr","Israel",9524770
2021,"as","Asia","asjor","Jordan",114221
2021,"as","Asia","asjpn","Japan",86573701
2021,"as","Asia","askhm","Cambodia",15584
2021,"as","Asia","askor","South Korea",148054039
2021,"as","Asia","askwt","Kuwait",3501502
2021,"as","Asia","aslbn","Lebanon",37064
2021,"as","Asia","aslka","Sri Lanka",157411
2021,"as","Asia","asmmr","Burma",4914
2021,"as","Asia","asmng","Mongolia",1723
2021,"as","Asia","asmys","Malaysia",4447437
2021,"as","Asia","asomn","Oman",533846
2021,"as","Asia","aspak","Pakistan",6384602
2021,"as","Asia","asphl","Philippines",923874
2021,"as","Asia","asqat","Qatar",2522664
2021,"as","Asia","assau","Saudi Arabia",15353188.999999998
2021,"as","Asia","assgp","Singapore",15929155
2021,"as","Asia","astha","Thailand",21872464
2021,"as","Asia","astur","Turkey",11532163
2021,"as","Asia","asuzb","Uzbekistan",21080.999999999996
2021,"as","Asia","asvnm","Vietnam",2755583
2021,"as","Asia","asxxb","Chinese Taipei",112360463
2021,"as","Asia","asyem","Yemen",250067.99999999997
2021,"eu","Europe","eualb","Albania",6840
2021,"eu","Europe","euaut","Austria",58674.00000000001
2021,"eu","Europe","eubel","Belgium",119492620
2021,"eu","Europe","eubgr","Bulgaria",5410
2021,"eu","Europe","eubih","Bosnia and Herzegovina",2682.9999999999995
2021,"eu","Europe","eublr","Belarus",10855
2021,"eu","Europe","euche","Switzerland",4797522
2021,"eu","Europe","eucze","Czechia",10817841
2021,"eu","Europe","eudeu","Germany",22056199
2021,"eu","Europe","eudnk","Denmark",26108
2021,"eu","Europe","euesp","Spain",53876725
2021,"eu","Europe","euest","Estonia",135822
2021,"eu","Europe","eufin","Finland",641475
2021,"eu","Europe","eufra","France",6583500
2021,"eu","Europe","eugbr","United Kingdom",11841486
2021,"eu","Europe","eugrc","Greece",163107
2021,"eu","Europe","euhrv","Croatia",20088
2021,"eu","Europe","euhun","Hungary",12830
