Country,2016,2017,2018,2019,2020,2021,Latitude,Longitude
Mexico,441963130,569215106,559195400,545166363,502485601,633456403,24.44385214,-102.3592103
Colombia,219297375,289560260,291372491,284433730,262619911,429672816,3.707701555,-73.22782159
Netherlands,98204183,170655465,320414583,316179135,335540234,344362261,52.13743947,5.497350462
Canada,199458814,217903641,246269726,230275140,204277492,281786147,58.33747,-112.384858
India,48498369,59967465,72937188,88485964,66833822,168647049,22.63761428,79.20995325
South Korea,106315654,101015255,110937727,141002297,156448359,148054039,36.382192,128.123986
Brazil,15470629,42864946,45850714,112121732,113977673,132773158,-10.01175319,-52.02230021
Belgium,48088324,48868350,68301682,67518308,71146377,119492620,50.74290489,4.84385678
Taiwan,58200433,69470346,60820197,69309108,52940276,112360463,23.69142359,120.9634421
China,150629914,139745801,128677025,116342811,90524012,91610153,32.523743,106.431983
Japan,79692574,75939449,83306346,91373689,88498139,86573701,36.13793,138.441899
