Country,2016,2017,2018,2019,2020,2021,Latitude,Longitude
Mexico,17084990649,18522977202,19860731171,18282844354,15261639380,21224431021,24.44385214,-102.3592103
Canada,15701248801,17038870326,17489773085,15512720107,13524435921,18052864155,58.33747,-112.384858
China,5169767654,5929513426,4810283130,3068991894,2852049125,3975632115,32.523743,106.431983
South Korea,1828518059,1822803617,2223194693,2219441827,1892157031,2305312981,36.382192,128.123986
Malaysia,370180480,505402978,979686108,1389259520,1420391046,2104695734,2.521947,113.833569
India,960430468,986162070,1465217577,1609822010,1328853888,1934637486,22.63761428,79.20995325
Turkey,993985594,1408177939,1489499094,1425601848,1404403022,1863693819,39.07799488,35.32278384
Germany,1758414401,1752288089,1964500174,1897907223,1585455712,1727070672,51.196755,9.62743
United Kingdom,1821875562,1816076261,1929195988,1844038786,1436957444,1418731952,52.58317586,-1.782040928
Japan,1714294129,1581653232,1938422858,1917926607,1492886813,1247846232,36.13793,138.441899
France,1266800736,1348429620,1571301707,1712170218,1213796962,912316989,46.698481,2.549047
