"Year","Continent ID","Continent","Country ID","Country","Trade Value"
2021,"af","Africa","afago","Angola",6176651
2021,"af","Africa","afbdi","Burundi",21580.000000000004
2021,"af","Africa","afben","Benin",839
2021,"af","Africa","afbfa","Burkina Faso",257896
2021,"af","Africa","afbwa","Botswana",104239
2021,"af","Africa","afciv","Cote d'Ivoire",21159291
2021,"af","Africa","afcmr","Cameroon",216025
2021,"af","Africa","afcod","Democratic Republic of the Congo",23475
2021,"af","Africa","afcog","Republic of the Congo",33770
2021,"af","Africa","afcpv","Cape Verde",57670
2021,"af","Africa","afdji","Djibouti",39975
2021,"af","Africa","afdza","Algeria",17365238
2021,"af","Africa","afegy","Egypt",162528079
2021,"af","Africa","afeth","Ethiopia",508214
2021,"af","Africa","afgab","Gabon",191028
2021,"af","Africa","afgha","Ghana",1678073
2021,"af","Africa","afgin","Guinea",99348
2021,"af","Africa","afgmb","Gambia",16868
2021,"af","Africa","afgnq","Equatorial Guinea",260928
2021,"af","Africa","afken","Kenya",2824239
2021,"af","Africa","aflby","Libya",2348632
2021,"af","Africa","afmar","Morocco",40535553
2021,"af","Africa","afmdg","Madagascar",373114
2021,"af","Africa","afmli","Mali",4205
2021,"af","Africa","afmoz","Mozambique",883375
2021,"af","Africa","afmrt","Mauritania",13991
2021,"af","Africa","afmus","Mauritius",387950
2021,"af","Africa","afmwi","Malawi",13702
2021,"af","Africa","afnam","Namibia",721729
2021,"af","Africa","afner","Niger",78480
2021,"af","Africa","afnga","Nigeria",29345939
2021,"af","Africa","afrwa","Rwanda",53735
2021,"af","Africa","afsdn","Sudan",1177327
2021,"af","Africa","afsen","Senegal",1012517
2021,"af","Africa","afshn","Saint Helena",61058
2021,"af","Africa","afsle","Sierra Leone",401959
2021,"af","Africa","afsom","Somalia",9481
2021,"af","Africa","afswz","Eswatini",4080324
2021,"af","Africa","afsyc","Seychelles",44588
2021,"af","Africa","aftcd","Chad",35223
2021,"af","Africa","aftgo","Togo",129537
2021,"af","Africa","aftun","Tunisia",6189665
2021,"af","Africa","aftza","Tanzania",995628
2021,"af","Africa","afuga","Uganda",157639
2021,"af","Africa","afzaf","South Africa",68036553
2021,"af","Africa","afzmb","Zambia",243089
2021,"af","Africa","afzwe","Zimbabwe",48612
2021,"as","Asia","asafg","Afghanistan",13808
2021,"as","Asia","asare","United Arab Emirates",105200689
2021,"as","Asia","asarm","Armenia",292644
2021,"as","Asia","asaze","Azerbaijan",6402494
2021,"as","Asia","asbgd","Bangladesh",3209694
2021,"as","Asia","asbhr","Bahrain",1553787
2021,"as","Asia","asbrn","Brunei",3562879
2021,"as","Asia","ascck","Cocos (Keeling) Islands",263560
2021,"as","Asia","aschn","China",2902231871
2021,"as","Asia","ascyp","Cyprus",312641
2021,"as","Asia","asgeo","Georgia",2273474
2021,"as","Asia","ashkg","Hong Kong",84094659
2021,"as","Asia","asidn","Indonesia",351713734
2021,"as","Asia","asind","India",1995490929
2021,"as","Asia","asiot","British Indian Ocean Territory",213795
2021,"as","Asia","asirn","Iran",966138
2021,"as","Asia","asirq","Iraq",7212765
2021,"as","Asia","asisr","Israel",164093730
2021,"as","Asia","asjor","Jordan",8666440
2021,"as","Asia","asjpn","Japan",2701788385
2021,"as","Asia","askaz","Kazakhstan",4599353
2021,"as","Asia","askgz","Kyrgyzstan",76031
2021,"as","Asia","askhm","Cambodia",1271489
2021,"as","Asia","askor","South Korea",1943232944
2021,"as","Asia","askwt","Kuwait",17891411
2021,"as","Asia","aslao","Laos",219612
2021,"as","Asia","aslbn","Lebanon",2526989
2021,"as","Asia","aslka","Sri Lanka",4754051
2021,"as","Asia","asmac","Macau",151349
2021,"as","Asia","asmdv","Maldives",50674
2021,"as","Asia","asmmr","Burma",6498425
2021,"as","Asia","asmng","Mongolia",255731
2021,"as","Asia","asmys","Malaysia",114714133
2021,"as","Asia","asnpl","Nepal",770036
2021,"as","Asia","asomn","Oman",5516394
2021,"as","Asia","aspak","Pakistan",40447627
2021,"as","Asia","asphl","Philippines",55390315
2021,"as","Asia","aspse","Palestine",557551
2021,"as","Asia","asqat","Qatar",8907778
2021,"as","Asia","assau","Saudi Arabia",193861577
2021,"as","Asia","assgp","Singapore",744861380
2021,"as","Asia","astha","Thailand",153815143
2021,"as","Asia","astjk","Tajikistan",226169
2021,"as","Asia","astkm","Turkmenistan",2583.9999999999995
2021,"as","Asia","astur","Turkey",930711250
2021,"as","Asia","asuzb","Uzbekistan",1083906
2021,"as","Asia","asvnm","Vietnam",163378227
2021,"as","Asia","asxxb","Chinese Taipei",1007458140
2021,"as","Asia","asyem","Yemen",1578536
2021,"eu","Europe","eualb","Albania",465372
2021,"eu","Europe","euand","Andorra",93663
2021,"eu","Europe","euaut","Austria",411781837
2021,"eu","Europe","eubel","Belgium",3619166677
2021,"eu","Europe","eubgr","Bulgaria",5310553
2021,"eu","Europe","eubih","Bosnia and Herzegovina",1152860
2021,"eu","Europe","eublr","Belarus",2639092
2021,"eu","Europe","euche","Switzerland",692173328
2021,"eu","Europe","eucze","Czechia",25923862
2021,"eu","Europe","eudeu","Germany",1863461062
2021,"eu","Europe","eudnk","Denmark",137429065
2021,"eu","Europe","euesp","Spain",476530121
2021,"eu","Europe","euest","Estonia",3092662
2021,"eu","Europe","eufin","Finland",193267439.99999997
2021,"eu","Europe","eufra","France",1221937441
2021,"eu","Europe","eugbr","United Kingdom",996790440
2021,"eu","Europe","eugib","Gibraltar",9424
2021,"eu","Europe","eugrc","Greece",15307007
2021,"eu","Europe","euhrv","Croatia",23536740
