"Year","Continent ID","Continent","Country ID","Country","Trade Value"
2021,"af","Africa","afago","Angola",264784
2021,"af","Africa","afben","Benin",2850
2021,"af","Africa","afbfa","Burkina Faso",26589.000000000004
2021,"af","Africa","afbwa","Botswana",20201
2021,"af","Africa","afcaf","Central African Republic",4351
2021,"af","Africa","afciv","Cote d'Ivoire",5033606
2021,"af","Africa","afcmr","Cameroon",131815
2021,"af","Africa","afcod","Democratic Republic of the Congo",147899
2021,"af","Africa","afcog","Republic of the Congo",10639
2021,"af","Africa","afcom","Comoros",2168595
2021,"af","Africa","afcpv","Cape Verde",143662
2021,"af","Africa","afdji","Djibouti",11014.000000000002
2021,"af","Africa","afdza","Algeria",332825674.99999994
2021,"af","Africa","afegy","Egypt",187524961
2021,"af","Africa","afeth","Ethiopia",242772
2021,"af","Africa","afgab","Gabon",438387
2021,"af","Africa","afgha","Ghana",3712877
2021,"af","Africa","afgin","Guinea",467961
2021,"af","Africa","afgmb","Gambia",8539
2021,"af","Africa","afgnq","Equatorial Guinea",89316451.00000001
2021,"af","Africa","afken","Kenya",15619674.999999998
2021,"af","Africa","afmar","Morocco",374541768
2021,"af","Africa","afmdg","Madagascar",5488327
2021,"af","Africa","afmli","Mali",157563
2021,"af","Africa","afmoz","Mozambique",809771
2021,"af","Africa","afmrt","Mauritania",2212253
2021,"af","Africa","afmus","Mauritius",2536800
2021,"af","Africa","afmwi","Malawi",2396
2021,"af","Africa","afnam","Namibia",39944
2021,"af","Africa","afner","Niger",8112118
2021,"af","Africa","afnga","Nigeria",17658392
2021,"af","Africa","afrwa","Rwanda",272981
2021,"af","Africa","afsen","Senegal",9031713
2021,"af","Africa","afshn","Saint Helena",234214.00000000003
2021,"af","Africa","afsle","Sierra Leone",64861
2021,"af","Africa","afsom","Somalia",199229
2021,"af","Africa","afswz","Eswatini",795861
2021,"af","Africa","afsyc","Seychelles",575315
2021,"af","Africa","aftcd","Chad",119848.00000000001
2021,"af","Africa","aftgo","Togo",688804
2021,"af","Africa","aftun","Tunisia",118893855
2021,"af","Africa","aftza","Tanzania",3068185
2021,"af","Africa","afuga","Uganda",7183589
2021,"af","Africa","afzaf","South Africa",1185909357
2021,"af","Africa","afzmb","Zambia",30176
2021,"af","Africa","afzwe","Zimbabwe",57667
2021,"as","Asia","asafg","Afghanistan",49781
2021,"as","Asia","asare","United Arab Emirates",219476130
2021,"as","Asia","asarm","Armenia",197872
2021,"as","Asia","asaze","Azerbaijan",23466872
2021,"as","Asia","asbgd","Bangladesh",15387530
2021,"as","Asia","asbhr","Bahrain",17321923
2021,"as","Asia","asbrn","Brunei",1102628
2021,"as","Asia","asbtn","Bhutan",2901.9999999999995
2021,"as","Asia","ascck","Cocos (Keeling) Islands",1478152
2021,"as","Asia","aschn","China",20570830521
2021,"as","Asia","ascxr","Christmas Island",140937
