"Year","Continent ID","Continent","Country ID","Country","Trade Value"
2021,"af","Africa","afegy","Egypt",69233
2021,"af","Africa","afgin","Guinea",620933
2021,"af","Africa","afken","Kenya",472.00000000000006
2021,"af","Africa","afmar","Morocco",246456
2021,"af","Africa","afmoz","Mozambique",1158498
2021,"af","Africa","afmus","Mauritius",4105724
2021,"af","Africa","afsen","Senegal",357255
2021,"af","Africa","afsyc","Seychelles",7058928
2021,"af","Africa","aftza","Tanzania",9831
2021,"af","Africa","afuga","Uganda",12552
2021,"af","Africa","afzaf","South Africa",17625452
2021,"af","Africa","afzmb","Zambia",59166.00000000001
2021,"as","Asia","asare","United Arab Emirates",4838.999999999999
2021,"as","Asia","asarm","Armenia",111339.99999999999
2021,"as","Asia","asbgd","Bangladesh",364540
2021,"as","Asia","aschn","China",2484641
2021,"as","Asia","ascyp","Cyprus",948873
2021,"as","Asia","ashkg","Hong Kong",66185
2021,"as","Asia","asidn","Indonesia",108699
2021,"as","Asia","asind","India",154135
2021,"as","Asia","asjpn","Japan",19816899.999999996
2021,"as","Asia","askor","South Korea",4434935
2021,"as","Asia","aslka","Sri Lanka",9913421
2021,"as","Asia","asmdv","Maldives",1876969
2021,"as","Asia","asomn","Oman",187738
2021,"as","Asia","aspak","Pakistan",21242
2021,"as","Asia","asphl","Philippines",4171594
2021,"as","Asia","assgp","Singapore",2086
2021,"as","Asia","astha","Thailand",118955
2021,"as","Asia","astur","Turkey",33670675
2021,"as","Asia","asvnm","Vietnam",1285121
2021,"as","Asia","asxxb","Chinese Taipei",200767
2021,"eu","Europe","euaut","Austria",5
2021,"eu","Europe","eubel","Belgium",4364
2021,"eu","Europe","eudeu","Germany",1697286
2021,"eu","Europe","eudnk","Denmark",149347001
2021,"eu","Europe","euesp","Spain",34610779
2021,"eu","Europe","eufra","France",605125
2021,"eu","Europe","eugbr","United Kingdom",208477925
2021,"eu","Europe","eugrc","Greece",51439278
2021,"eu","Europe","euirl","Ireland",1276316
2021,"eu","Europe","euisl","Iceland",67493329
2021,"eu","Europe","euita","Italy",81311
2021,"eu","Europe","eumlt","Malta",21592
2021,"eu","Europe","eunld","Netherlands",20181011
2021,"eu","Europe","eunor","Norway",162120078
2021,"eu","Europe","euprt","Portugal",1317906
2021,"eu","Europe","euswe","Sweden",1049
2021,"na","North America","nabhs","Bahamas",65657
2021,"na","North America","nablz","Belize",437688
2021,"na","North America","nabrb","Barbados",1337836
2021,"na","North America","nacan","Canada",826288501
2021,"na","North America","nacri","Costa Rica",34699598
2021,"na","North America","nadom","Dominican Republic",342874
2021,"na","North America","nagrd","Grenada",2403513
2021,"na","North America","nagtm","Guatemala",7766696.999999999
2021,"na","North America","nahnd","Honduras",1482602
2021,"na","North America","namex","Mexico",131173402
2021,"na","North America","nanic","Nicaragua",23239369
2021,"na","North America","napan","Panama",107012447
2021,"na","North America","naslv","El Salvador",2333326
2021,"na","North America","natto","Trinidad and Tobago",5525455
2021,"na","North America","navct","Saint Vincent and the Grenadines",1175830
2021,"oc","Oceania","ocaus","Australia",27394997
2021,"oc","Oceania","ocfji","Fiji",3957652
2021,"oc","Oceania","ocfsm","Micronesia",239601
2021,"oc","Oceania","ocmhl","Marshall Islands",5614014
2021,"oc","Oceania","ocnzl","New Zealand",71710588
2021,"oc","Oceania","ocpyf","French Polynesia",15651976
2021,"oc","Oceania","octon","Tonga",266412
2021,"sa","South America","saarg","Argentina",989560
2021,"sa","South America","sabra","Brazil",49686099
2021,"sa","South America","sachl","Chile",103281744
2021,"sa","South America","sacol","Colombia",20649407
2021,"sa","South America","saecu","Ecuador",82955547
2021,"sa","South America","saguy","Guyana",4875941.999999999
2021,"sa","South America","saper","Peru",2999510
2021,"sa","South America","sasur","Suriname",14412125.000000002
2021,"sa","South America","saven","Venezuela",31865698
