"Year","Continent ID","Continent","Country ID","Country","Trade Value"
2021,"af","Africa","afago","Angola",6945910
2021,"af","Africa","afbdi","Burundi",11078
2021,"af","Africa","afben","Benin",11408
2021,"af","Africa","afbfa","Burkina Faso",260287
2021,"af","Africa","afbwa","Botswana",425634.99999999994
2021,"af","Africa","afcaf","Central African Republic",6170
2021,"af","Africa","afciv","Cote d'Ivoire",134369
2021,"af","Africa","afcmr","Cameroon",929728
2021,"af","Africa","afcod","Democratic Republic of the Congo",339596
2021,"af","Africa","afcog","Republic of the Congo",2011376
2021,"af","Africa","afcom","Comoros",2534.0000000000005
2021,"af","Africa","afcpv","Cape Verde",43851
2021,"af","Africa","afdji","Djibouti",174433
2021,"af","Africa","afdza","Algeria",48290
2021,"af","Africa","afegy","Egypt",10495494
2021,"af","Africa","aferi","Eritrea",14664.000000000002
2021,"af","Africa","afeth","Ethiopia",15820875
2021,"af","Africa","afgab","Gabon",191090
2021,"af","Africa","afgha","Ghana",316949
2021,"af","Africa","afgin","Guinea",162491
2021,"af","Africa","afgmb","Gambia",5207.999999999999
2021,"af","Africa","afgnq","Equatorial Guinea",30650
2021,"af","Africa","afken","Kenya",486610
2021,"af","Africa","aflbr","Liberia",47568.00000000001
2021,"af","Africa","aflby","Libya",15302.999999999998
2021,"af","Africa","afmar","Morocco",53179747
2021,"af","Africa","afmdg","Madagascar",202544
2021,"af","Africa","afmli","Mali",122959
2021,"af","Africa","afmoz","Mozambique",2388450
2021,"af","Africa","afmrt","Mauritania",87043
2021,"af","Africa","afmus","Mauritius",1084428
2021,"af","Africa","afmwi","Malawi",2509
2021,"af","Africa","afnam","Namibia",573322
2021,"af","Africa","afner","Niger",4196526
2021,"af","Africa","afnga","Nigeria",872353
2021,"af","Africa","afrwa","Rwanda",274785
2021,"af","Africa","afsen","Senegal",1085515
2021,"af","Africa","afshn","Saint Helena",149143
2021,"af","Africa","afsle","Sierra Leone",2354938
2021,"af","Africa","afsom","Somalia",17460
2021,"af","Africa","afssd","South Sudan",12409
2021,"af","Africa","afstp","Sao Tome and Principe",148248
2021,"af","Africa","afswz","Eswatini",734656
2021,"af","Africa","afsyc","Seychelles",308035
2021,"af","Africa","aftcd","Chad",256934
2021,"af","Africa","aftgo","Togo",33799
2021,"af","Africa","aftun","Tunisia",48242813
2021,"af","Africa","aftza","Tanzania",1874479
2021,"af","Africa","afuga","Uganda",238166
2021,"af","Africa","afzaf","South Africa",552859129
2021,"af","Africa","afzmb","Zambia",406779
2021,"af","Africa","afzwe","Zimbabwe",11446
2021,"as","Asia","asafg","Afghanistan",1020546
2021,"as","Asia","asare","United Arab Emirates",468522422
2021,"as","Asia","asarm","Armenia",222675
2021,"as","Asia","asaze","Azerbaijan",6546839
2021,"as","Asia","asbgd","Bangladesh",3292408
2021,"as","Asia","asbhr","Bahrain",2156273
2021,"as","Asia","asbrn","Brunei",523834
2021,"as","Asia","asbtn","Bhutan",21889
2021,"as","Asia","ascck","Cocos (Keeling) Islands",139013
2021,"as","Asia","aschn","China",116968528745
2021,"as","Asia","ascxr","Christmas Island",133175
2021,"as","Asia","ascyp","Cyprus",4069724
2021,"as","Asia","asgeo","Georgia",1853534
2021,"as","Asia","ashkg","Hong Kong",194783540
2021,"as","Asia","asidn","Indonesia",1071155315
2021,"as","Asia","asind","India",5042434182
2021,"as","Asia","asiot","British Indian Ocean Territory",42838
2021,"as","Asia","asirn","Iran",421296
2021,"as","Asia","asirq","Iraq",685424
2021,"as","Asia","asisr","Israel",1413009627
2021,"as","Asia","asjor","Jordan",58099847
2021,"as","Asia","asjpn","Japan",30117717378
2021,"as","Asia","askaz","Kazakhstan",13224018
2021,"as","Asia","askgz","Kyrgyzstan",2501745
2021,"as","Asia","askhm","Cambodia",29842639
2021,"as","Asia","askor","South Korea",21225373803
2021,"as","Asia","askwt","Kuwait",3856506
2021,"as","Asia","aslao","Laos",536201
2021,"as","Asia","aslbn","Lebanon",10981977.000000002
2021,"as","Asia","aslka","Sri Lanka",77599455
2021,"as","Asia","asmac","Macau",191260
2021,"as","Asia","asmdv","Maldives",17853
2021,"as","Asia","asmmr","Burma",1316844
2021,"as","Asia","asmng","Mongolia",2758756
2021,"as","Asia","asmys","Malaysia",5997536919
2021,"as","Asia","asnpl","Nepal",218703
2021,"as","Asia","asomn","Oman",23086105
2021,"as","Asia","aspak","Pakistan",6849241
2021,"as","Asia","asphl","Philippines",3195893119
2021,"as","Asia","aspse","Palestine",23135
2021,"as","Asia","asqat","Qatar",3362210
2021,"as","Asia","assau","Saudi Arabia",113398195
2021,"as","Asia","assgp","Singapore",3733653434
2021,"as","Asia","astha","Thailand",11204743919
2021,"as","Asia","astjk","Tajikistan",107681
