"Year","Continent ID","Continent","Country ID","Country","Trade Value"
2021,"af","Africa","afago","Angola",190176
2021,"af","Africa","afbwa","Botswana",89.00000000000001
2021,"af","Africa","afciv","Cote d'Ivoire",27046.999999999996
2021,"af","Africa","afcmr","Cameroon",58213
2021,"af","Africa","afcod","Democratic Republic of the Congo",28749.000000000004
2021,"af","Africa","afcog","Republic of the Congo",8250
2021,"af","Africa","afcpv","Cape Verde",143662
2021,"af","Africa","afegy","Egypt",410130
2021,"af","Africa","afgin","Guinea",312488
2021,"af","Africa","afgnq","Equatorial Guinea",89314502.00000001
2021,"af","Africa","afken","Kenya",213611.00000000003
2021,"af","Africa","afmar","Morocco",313726
2021,"af","Africa","afmdg","Madagascar",1647136
2021,"af","Africa","afmli","Mali",3312
2021,"af","Africa","afmoz","Mozambique",18599
2021,"af","Africa","afmrt","Mauritania",6621
2021,"af","Africa","afnam","Namibia",8000
2021,"af","Africa","afner","Niger",8010507
2021,"af","Africa","afsen","Senegal",20681
2021,"af","Africa","afshn","Saint Helena",94787
2021,"af","Africa","afsle","Sierra Leone",24295
2021,"af","Africa","afswz","Eswatini",133021
2021,"af","Africa","afsyc","Seychelles",443895
2021,"af","Africa","aftun","Tunisia",1311.9999999999998
2021,"af","Africa","afzaf","South Africa",256592985
2021,"as","Asia","asare","United Arab Emirates",6759694
2021,"as","Asia","asarm","Armenia",69474
2021,"as","Asia","asaze","Azerbaijan",57747
2021,"as","Asia","asbgd","Bangladesh",633299
2021,"as","Asia","asbrn","Brunei",1076103
2021,"as","Asia","aschn","China",10657547870
2021,"as","Asia","ascxr","Christmas Island",140937
2021,"as","Asia","ascyp","Cyprus",70836
2021,"as","Asia","asgeo","Georgia",6060453
2021,"as","Asia","ashkg","Hong Kong",11314294
2021,"as","Asia","asidn","Indonesia",194560862
2021,"as","Asia","asind","India",2908509880
2021,"as","Asia","asisr","Israel",280254370
2021,"as","Asia","asjor","Jordan",1388100
2021,"as","Asia","asjpn","Japan",1816732442
2021,"as","Asia","askhm","Cambodia",2685169.0000000005
2021,"as","Asia","askor","South Korea",1434816262
2021,"as","Asia","askwt","Kuwait",7464528
2021,"as","Asia","aslbn","Lebanon",137668
2021,"as","Asia","aslka","Sri Lanka",4498
2021,"as","Asia","asmac","Macau",3620776
2021,"as","Asia","asmmr","Burma",1920
2021,"as","Asia","asmys","Malaysia",247284031
2021,"as","Asia","asomn","Oman",33812341
2021,"as","Asia","aspak","Pakistan",23293.000000000004
2021,"as","Asia","asphl","Philippines",42401317
2021,"as","Asia","asqat","Qatar",27085256
2021,"as","Asia","assau","Saudi Arabia",556907713
2021,"as","Asia","assgp","Singapore",1561602157
2021,"as","Asia","astha","Thailand",310912824
2021,"as","Asia","astur","Turkey",54750607
2021,"as","Asia","asvnm","Vietnam",26550467
2021,"as","Asia","asxxb","Chinese Taipei",673312309
2021,"eu","Europe","euaut","Austria",111677732
2021,"eu","Europe","eubel","Belgium",1179725834
2021,"eu","Europe","eubgr","Bulgaria",47534149
2021,"eu","Europe","euche","Switzerland",2190609073
2021,"eu","Europe","eucze","Czechia",82838821
2021,"eu","Europe","eudeu","Germany",3048760251
2021,"eu","Europe","eudnk","Denmark",247561731
2021,"eu","Europe","euesp","Spain",459015917
2021,"eu","Europe","euest","Estonia",40026602
2021,"eu","Europe","eufin","Finland",110602105
2021,"eu","Europe","eufra","France",1153900357
2021,"eu","Europe","eugbr","United Kingdom",2172589771
2021,"eu","Europe","eugrc","Greece",8525405
2021,"eu","Europe","euhrv","Croatia",14585431
2021,"eu","Europe","euhun","Hungary",84811794
2021,"eu","Europe","euirl","Ireland",15569215070
2021,"eu","Europe","euisl","Iceland",40730
2021,"eu","Europe","euita","Italy",810848368
2021,"eu","Europe","eultu","Lithuania",118468544
2021,"eu","Europe","eulux","Luxembourg",239493
