"Year","Continent ID","Continent","Country ID","Country","Trade Value"
2021,"af","Africa","afago","Angola",83958
2021,"af","Africa","afbdi","Burundi",45760
2021,"af","Africa","afben","Benin",583244
2021,"af","Africa","afbfa","Burkina Faso",52809049
2021,"af","Africa","afbwa","Botswana",4872
2021,"af","Africa","afciv","Cote d'Ivoire",130864
2021,"af","Africa","afcmr","Cameroon",322679
2021,"af","Africa","afcod","Democratic Republic of the Congo",49998
2021,"af","Africa","afcog","Republic of the Congo",16423
2021,"af","Africa","afcom","Comoros",35412.00000000001
2021,"af","Africa","afcpv","Cape Verde",1886
2021,"af","Africa","afdji","Djibouti",7991
2021,"af","Africa","afdza","Algeria",35958.99999999999
2021,"af","Africa","afegy","Egypt",1678245037
2021,"af","Africa","aferi","Eritrea",12509
2021,"af","Africa","afeth","Ethiopia",225932441
2021,"af","Africa","afgab","Gabon",4489
2021,"af","Africa","afgha","Ghana",21372163
2021,"af","Africa","afgin","Guinea",133550
2021,"af","Africa","afgmb","Gambia",8408
2021,"af","Africa","afgnb","Guinea-Bissau",77791
2021,"af","Africa","afken","Kenya",363783879
2021,"af","Africa","aflbr","Liberia",14112
2021,"af","Africa","aflby","Libya",792
2021,"af","Africa","aflso","Lesotho",304465698
2021,"af","Africa","afmar","Morocco",113645309
2021,"af","Africa","afmdg","Madagascar",265650765
2021,"af","Africa","afmli","Mali",119005
2021,"af","Africa","afmoz","Mozambique",213310
2021,"af","Africa","afmrt","Mauritania",82591
2021,"af","Africa","afmus","Mauritius",70895779
2021,"af","Africa","afmwi","Malawi",363298
2021,"af","Africa","afnam","Namibia",11362
2021,"af","Africa","afner","Niger",71834
2021,"af","Africa","afnga","Nigeria",6255874
2021,"af","Africa","afrwa","Rwanda",338123
2021,"af","Africa","afsen","Senegal",24597532.000000004
2021,"af","Africa","afsle","Sierra Leone",363355
2021,"af","Africa","afstp","Sao Tome and Principe",3797
2021,"af","Africa","afswz","Eswatini",3726459
2021,"af","Africa","afsyc","Seychelles",350866
2021,"af","Africa","aftgo","Togo",59286
2021,"af","Africa","aftun","Tunisia",60867457
2021,"af","Africa","aftza","Tanzania",33136602
2021,"af","Africa","afuga","Uganda",110201
2021,"af","Africa","afzaf","South Africa",35026094
2021,"af","Africa","afzmb","Zambia",95618
2021,"af","Africa","afzwe","Zimbabwe",99447
2021,"an","Antarctica","anatf","French South Antarctic Territory",1020
2021,"as","Asia","asafg","Afghanistan",8219689
2021,"as","Asia","asare","United Arab Emirates",121200048
2021,"as","Asia","asarm","Armenia",8164175
2021,"as","Asia","asaze","Azerbaijan",138983
2021,"as","Asia","asbgd","Bangladesh",7654002146
2021,"as","Asia","asbhr","Bahrain",55186936.99999999
2021,"as","Asia","asbrn","Brunei",2969890
2021,"as","Asia","asbtn","Bhutan",2869
2021,"as","Asia","ascck","Cocos (Keeling) Islands",56400
2021,"as","Asia","aschn","China",43367030211
2021,"as","Asia","ascxr","Christmas Island",1183
2021,"as","Asia","ascyp","Cyprus",1365904
2021,"as","Asia","asgeo","Georgia",5240418
2021,"as","Asia","ashkg","Hong Kong",152289127
2021,"as","Asia","asidn","Indonesia",4997356402
2021,"as","Asia","asind","India",9775144167
2021,"as","Asia","asiot","British Indian Ocean Territory",15810
2021,"as","Asia","asirn","Iran",20343
2021,"as","Asia","asirq","Iraq",19908
2021,"as","Asia","asisr","Israel",317325223
2021,"as","Asia","asjor","Jordan",2080025522
2021,"as","Asia","asjpn","Japan",798983270
2021,"as","Asia","askaz","Kazakhstan",40621
2021,"as","Asia","askgz","Kyrgyzstan",757455
2021,"as","Asia","askhm","Cambodia",3927992757
2021,"as","Asia","askor","South Korea",1541067515
2021,"as","Asia","askwt","Kuwait",87975
2021,"as","Asia","aslao","Laos",9608399
2021,"as","Asia","aslbn","Lebanon",2055307
2021,"as","Asia","aslka","Sri Lanka",2183505423
2021,"as","Asia","asmac","Macau",82805652
