Name,2016,2017,2018,2019,2020,2021,Latitude ,Longitude,Content
Canada,1.85797E+11,19049505340,19819556110,18708005532,16999974606,17600412616,58.33747,-112.384858,"Canada and the U.S. share one of the largest trading relationships in the world, in part due to close cultural ties, and in part due to the North American Free Trade Agreement (NAFTA), which allows U.S. companies to ship qualifying goods to Canada or Mexico duty-free."
Mexico,35660435258,39681195814,41174088903,38295377114,35953160366,36876215772,23.920061,-102.289691,"Mexico is one of the U.S.’s largest trading partners for goods overall, in part due to proximity, and in part due to the North American Free Trade Agreement (NAFTA), which allows U.S. companies to ship qualifying goods to Canada or Mexico duty-free."
China,12551918574,1.23646E+11,13156875342,14537744514,17114802468,19035138853,32.523743,106.431983,"U.S.-China trade has exploded in the two decades since China joined the World Trade Organization, which has benefited both countries’ consumers and companies. However, China’s state-led development has created friction with the U.S., leading to increasingly tense relations between the two countries."
Hong Kong,10163405993,11242565646,11094649042,10229731402,9401116688,11535938907,22.28552,114.15769,"Hong Kong is an important entrepôt for trade between the US and Mainland China. In 2021, 4.9% of Mainland China's exports to the US, and 7.6% of Mainland China's imports from the US, were routed through Hong Kong."
Taiwan,503784286,4933287905,49954064674,4685710715,5167046136,6465295011,23.798532,120.955426,"Taiwan is a top U.S. trade partner and a key link in global technology and manufacturing supply chains.  It was the U.S.’s 10th largest trade partner in 2022, and the U.S. was Taiwan’s third largest source of imports."
Malaysia,5910702713,5605479340,5299908236,4747366128,4835493724,6261377259,2.521947,113.833569,"Malaysia was the U.S.’s 18th largest trading partner in 2020, and the U.S. is Malaysia’s largest foreign investor.  Electrical machinery and electronics, and metals were the only industries in the OEC dataset where Malaysia was one of the top importers."
South Korea,5723188834,6617845366,5677945312,5776887653,5590073302,5366652995,36.382192,128.123986,"The U.S.-Korea trade agreement entered into force on March 15, 2012, providing more opportunities for U.S. exporters to sell more goods to Korean customers.  As a result, South Korea has become one of the U.S.’s largest trading partners and one of the most geopolitically important in East Asia."
Japan,5636696230,5326336583,5229962530,5067986645,4524943193,4723993571,36.13793,138.441899,"The U.S. and Japan recently signed the U.S.-Japan Trade Agreement, which entered into force on January 1, 2020.  The relationship is important to the U.S. given its geopolitical interests in East Asia, and a majority of Japanese citizens consider the U.S. to be their closest ally."
Singapore,3940455428,5796022810,4235046827,4141346870,4138623506,4103540862,1.357685,103.80938,"The U.S. and Singapore have a close and cooperative trade relationship underpinned by The United States-Singapore Free Trade Agreement, which entered in force on January 1, 2004. The agreement has functioned generally smoothly, with trade and investment growing substantially in both directions."
Germany,5393424645,5740404119,6210240941,6396723156,5029972956,6029532530,51.196755,9.62743,"Germany is a major economic powerhouse of the European Union, which is one of the U.S.’s largest and most important trading partners.  While there is currently no dedicated free trade agreement between the U.S. and the EU, the U.S. remains the EU’s single largest trading partner."
Netherlands,4123317971,4930521795,4885208753,4645722134,4544087885,4700003284,52.554205,5.501896,"The Netherlands is part of the European Union, which is one of the U.S.’s largest and most important trading partners.  While there is currently no dedicated free trade agreement between the U.S. and the EU, the U.S. remains the EU’s single largest trading partner."
Brazil,2349097871,2462263402,2440666340,2435399988,2366987411,2394206909,-11.928923,-49.542449,The United States and Brazil have enjoyed a strong economic relationship for many years. The U.S. is Brazil’s second largest trading partner.
Australia,1947737417,2038733900,2162398372,2300254635,2108856138,2300173744,-23.992438,134.050443,"The United States and Australia have a close and cooperative trade relationship, which is underpinned by the U.S.-Australia Free Trade Agreement. Australia is one of the top importers of U.S. machinery."
