Name,2016,2017,2018,2019,2020,2021,Latitude ,Longitude,Content
Canada,53070029774,57462860728,59785120844,58438949417,51047894058,55901701592,58.33747,-112.384858,"Canada is one of the two main destinations of American machine exports. Canada and the U.S. share one of the largest trading relationships in the world, in part due to close cultural ties, and in part due to the North American Free Trade Agreement (NAFTA), which allows U.S. companies to ship qualifying goods to Canada or Mexico duty-free."
Mexico,73397875225,78808408892,83016374140,78725130499,68176852227,73301684205,23.920061,-102.289691,"Mexico is one of the two main destinations of American machine exports. Mexico is one of the U.S.’s largest trading partners for goods overall, in part due to proximity, and in part due to the North American Free Trade Agreement (NAFTA), which allows U.S. companies to ship qualifying goods to Canada or Mexico duty-free."
China,22205036319,23521606134,24628467674,24327365772,26997041533,32167992368,32.523743,106.431983,"Despite increasing hostility between China and the United States from 2016-2021, Chinese imports of American machines saw an overall increase. U.S.-China trade has exploded in the two decades since China joined the World Trade Organization, which has benefited both countries’ consumers and companies. However, China’s state-led development has created friction with the U.S., leading to increasingly tense relations between the two countries."
Singapore,9268651207,12057377080,10124776956,9821720887,10658830016,11481144904,1.357685,103.80938,"The U.S. and Singapore have a close and cooperative trade relationship underpinned by The United States-Singapore Free Trade Agreement, which entered in force on January 1, 2004. The agreement has functioned generally smoothly, with trade and investment growing substantially in both directions."
Hong Kong,12206263646,13676999065,13971459327,12718180893,11144801913,13910650970,22.28552,114.15769,"Hong Kong is an important entrepôt for trade between the US and Mainland China. In 2021, 4.9% of Mainland China's exports to the US, and 7.6% of Mainland China's imports from the US, were routed through Hong Kong."
Taiwan,9322857279,9722613141,10121743911,8030362922,8416640855,10858067851,23.798532,120.955426,"Taiwan is a top U.S. trade partner and a key link in global technology and manufacturing supply chains.  It was the U.S.’s 10th largest trade partner in 2022, and the U.S. was Taiwan’s third largest source of imports."
Japan,12293317169,12362305963,12725486687,12255599029,11759532520,10633071036,36.13793,138.441899,"The U.S. and Japan recently signed the U.S.-Japan Trade Agreement, which entered into force on January 1, 2020.  The relationship is important to the U.S. given its geopolitical interests in East Asia, and a majority of Japanese citizens consider the U.S. to be their closest ally."
South Korea,10186130764,1112552646,10777894301,10680326120,10214877178,10603252558,36.382192,128.123986,"The U.S.-Korea trade agreement entered into force on March 15, 2012, providing more opportunities for U.S. exporters to sell more goods to Korean customers.  As a result, South Korea has become one of the U.S.’s largest trading partners and one of the most geopolitically important in East Asia."
Germany,13462236656,14886205098,14801363880,15984113450,12914992723,14817638056,51.196755,9.62743,"Germany is a major economic powerhouse of the European Union, which is one of the U.S.’s largest and most important trading partners.  While there is currently no dedicated free trade agreement between the U.S. and the EU, the U.S. remains the EU’s single largest trading partner."
United Kingdom,11870437730,10355807474,11090281068,11106622636,11506983950,12013966993,53.5,-1.247349,"The United States and UK have a relatively open trading relationship, and the two countries’ trade policies align on many fronts.  However, some frictions emerge periodically on specific issues, such as tariffs."
Netherlands,8383089245,9439465697,9802641127,9652734681,9394007337,10696574771,52.554205,5.501896,"The Netherlands is part of the European Union, which is one of the U.S.’s largest and most important trading partners.  While there is currently no dedicated free trade agreement between the U.S. and the EU, the U.S. remains the EU’s single largest trading partner."
France,7455656586,9774034821,7391204817,6804752263,6802276192,7579842357,46.698481,2.549047,"France is part of the European Union, which is one of the U.S.’s largest and most important trading partners.  While there is currently no dedicated free trade agreement between the U.S. and the EU, the U.S. remains the EU’s single largest trading partner."
Australia,6013012489,6475770488,6976547429,7050228241,6798582147,7390598801,-23.992438,134.050443,"The United States and Australia have a close and cooperative trade relationship, which is underpinned by the U.S.-Australia Free Trade Agreement. Australia is one of the top importers of U.S. machinery."
Brazil,6947876859,6749099783,7273171034,7532701225,6801810893,6961258533,-11.928923,-49.542449,The United States and Brazil have enjoyed a strong economic relationship for many years. The U.S. is Brazil’s second largest trading partner.
