Country,2016,2017,2018,2019,2020,2021,Latitude,Longitude,Content
Mexico,17084990649,18522977202,19860731171,18282844354,15261639380,21224431021,24.44385214,-102.3592103,"Mexico is one of the two main destinations of American metal exports. Mexico is one of the U.S.’s largest trading partners for goods overall, in part due to proximity, and in part due to the North American Free Trade Agreement (NAFTA), which allows U.S. companies to ship qualifying goods to Canada or Mexico duty-free."
Canada,15701248801,17038870326,17489773085,15512720107,13524435921,18052864155,58.33747,-112.384858,"Canada is one of the two main destinations of American metal exports. Canada and the U.S. share one of the largest trading relationships in the world, in part due to close cultural ties, and in part due to the North American Free Trade Agreement (NAFTA), which allows U.S. companies to ship qualifying goods to Canada or Mexico duty-free."
China,5169767654,5929513426,4810283130,3068991894,2852049125,3975632115,32.523743,106.431983,"U.S.-China trade has exploded in the two decades since China joined the World Trade Organization, which has benefited both countries’ consumers and companies. However, China’s state-led development has created friction with the U.S., leading to increasingly tense relations between the two countries."
South Korea,1828518059,1822803617,2223194693,2219441827,1892157031,2305312981,36.382192,128.123986,"The U.S.-Korea trade agreement entered into force on March 15, 2012, providing more opportunities for U.S. exporters to sell more goods to Korean customers.  As a result, South Korea has become one of the U.S.’s largest trading partners and one of the most geopolitically important in East Asia."
Malaysia,370180480,505402978,979686108,1389259520,1420391046,2104695734,2.521947,113.833569,"Malaysia was the U.S.’s 18th largest trading partner in 2020, and the U.S. is Malaysia’s largest foreign investor.  Electrical machinery and electronics, and metals were the only industries in the OEC dataset where Malaysia was one of the top importers."
India,960430468,986162070,1465217577,1609822010,1328853888,1934637486,22.63761428,79.20995325,"The United States is India's largest trading partner. Many U.S. companies view India as a critical market and have expanded their operations there, but there still is no trade agreement between the U.S. and India."
Turkey,993985594,1408177939,1489499094,1425601848,1404403022,1863693819,39.07799488,35.32278384,"Although overall U.S.-Turkey trade jumped from $10.8 billion in 2009 to $21 billion in 2020, it remains modest compared to its potential. Textiles and metals were in the only industries in the OEC dataset where Turkey was one of the top importers."
Germany,1758414401,1752288089,1964500174,1897907223,1585455712,1727070672,51.196755,9.62743,"Germany is a major economic powerhouse of the European Union, which is one of the U.S.’s largest and most important trading partners.  While there is currently no dedicated free trade agreement between the U.S. and the EU, the U.S. remains the EU’s single largest trading partner."
United Kingdom,1821875562,1816076261,1929195988,1844038786,1436957444,1418731952,52.58317586,-1.782040928,"The United States and UK have a relatively open trading relationship, and the two countries’ trade policies align on many fronts.  However, some frictions emerge periodically on specific issues, such as tariffs."
Japan,1714294129,1581653232,1938422858,1917926607,1492886813,1247846232,36.13793,138.441899,"The U.S. and Japan recently signed the U.S.-Japan Trade Agreement, which entered into force on January 1, 2020.  The relationship is important to the U.S. given its geopolitical interests in East Asia, and a majority of Japanese citizens consider the U.S. to be their closest ally."
France,1266800736,1348429620,1571301707,1712170218,1213796962,912316989,46.698481,2.549047,"France is part of the European Union, which is one of the U.S.’s largest and most important trading partners.  While there is currently no dedicated free trade agreement between the U.S. and the EU, the U.S. remains the EU’s single largest trading partner."
