Name,2016,2017,2018,2019,2020,2021,Latitude ,Longitude
China_frozenfish,648767056,825536926,651822596,596385316,403321918,404187496,32.523743,106.431983
Japan_frozenfish,431026158,611514939,562116922,401351443,381108326,470249176,36.13793,138.441899
South_Korea_frozenfish,190462170,189014004,233199638,249460706,203395792,156086201,36.382192,128.123986
Thailand_frozenfish,148906250,160117982,152325148,95587684,101915043,69854080,15.512883,101.301707
Canada_frozenfish,97107390,97453758,87634502,94199344,79019959,137436607,58.33747,-112.384858
Ukraine_frozenfish,39648524,59687499,59279407,70053257,63014413,85258188,49.219469,33.023452
Germany_frozenfish,50872792,65109713,52670131,66809432,44486240,71116439,51.196755,9.62743
France_frozenfish,54813057,67384257,68536038,59067115,45756864,42686338,46.698481,2.549047
Mexico_Metal,17084990649,18522977202,19860731171,18282844354,15261639380,21224431021,23.920061,-102.289691
Canada_Metal,15701248801,17038870326,17489773085,15512720107,13524435921,18052864155,58.33747,-112.384858
China_Metal,5169767654,5929513426,4810283130,3068991894,2852049125,3975632115,32.523743,106.431983
South_Korea_Metal,1828518059,1822803617,2223194693,2219441827,1892157031,2305312981,36.382192,128.123986
Malaysia_Metal,370180480,505402978,979686108,1389259520,1420391046,2104695734,2.521947,113.833569
India_Metal,960430468,986162070,1465217577,1609822010,1328853888,1934637486,22.412321,79.132924
Turkey_Metal,993985594,1408177939,1489499094,1425601848,1404403022,1863693819,39.339547,34.51052
Germany_Metal,1758414401,1752288089,1964500174,1897907223,1585455712,1727070672,51.196755,9.62743
United_Kingdom_Metal,1821875562,1816076261,1929195988,1844038786,1436957444,1418731952,52.418788,-1.247349
Japan_Metal,1714294129,1581653232,1938422858,1917926607,1492886813,1247846232,36.13793,138.441899
France_Metal,1266800736,1348429620,1571301707,1712170218,1213796962,912316989,46.698481,2.549047
